acquisitionInformation.acquisitionParameters.acquisitionSystemName	acquisitionInformation.acquisitionParameters.acquisitionSystemType	acquisitionInformation.acquisitionParameters.antennaToSource_inMeters	acquisitionInformation.acquisitionParameters.cableLength_inMeters	acquisitionInformation.acquisitionParameters.cableReceiverDepthRecorded	acquisitionInformation.acquisitionParameters.cableReceiverDepth_inMeters	acquisitionInformation.acquisitionParameters.channelLength_inMeters	acquisitionInformation.acquisitionParameters.compassBirds	acquisitionInformation.acquisitionParameters.nearChannelNumber	acquisitionInformation.acquisitionParameters.numberOfCables	acquisitionInformation.acquisitionParameters.numberOfChannelsEachCable	acquisitionInformation.acquisitionParameters.numberOfChannelsRecorded	acquisitionInformation.acquisitionParameters.receiverType	acquisitionInformation.acquisitionParameters.recordLength_inSeconds	acquisitionInformation.acquisitionParameters.sampleInterval_inMicroseconds	acquisitionInformation.acquisitionParameters.seismicNavSystem	acquisitionInformation.acquisitionParameters.shotControl	acquisitionInformation.acquisitionParameters.shotInterval_inSecondsOrMeters	acquisitionInformation.acquisitionParameters.sourceArraySeparation_inMeters	acquisitionInformation.acquisitionParameters.sourceDepth_inMeters	acquisitionInformation.acquisitionParameters.sourceNumber	acquisitionInformation.acquisitionParameters.sourcePressure_inBars	acquisitionInformation.acquisitionParameters.sourceToNearChannel_inMeters	acquisitionInformation.acquisitionParameters.sourceType	acquisitionInformation.acquisitionParameters.sourceVolume	acquisitionInformation.acquisitionParameters.sourceVolumeUnits	acquisitionInformation.acquisitionParameters.tailBuoyPositioning	acquisitionInformation.platformInformation.platform	acquisitionInformation.platformInformation.platformOrganization	acquisitionInformation.seismicNavFile.dataFileFormat	acquisitionInformation.seismicNavFile.offsetsApplied	acquisitionInformation.seismicNavFile.surveyDatum	datasetInformation.boundingCoordinates.eastLong	datasetInformation.boundingCoordinates.northLat	datasetInformation.boundingCoordinates.southLat	datasetInformation.boundingCoordinates.westLong	datasetInformation.dataClass	datasetInformation.dataContact.contactInformation.email	datasetInformation.dataContact.contactInformation.name	datasetInformation.dataContact.contactInformation.organization	datasetInformation.dataContact.contactInformation.role	datasetInformation.dataMedia	datasetInformation.dataType	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.email	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.name	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.organization	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.role	datasetInformation.datasetAccessControl.accessControl.accessReleaseDate	datasetInformation.datasetAccessControl.accessControl.accessState	datasetInformation.datasetContentLink	datasetInformation.datasetDescription	datasetInformation.datasetID	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.email	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.name	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.organization	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.role	datasetInformation.datasetProcessing.processingParameters.processingScope	datasetInformation.datasetProcessing.processingParameters.processingStep	datasetInformation.datasetProcessing.processingParameters.processingStepDate	datasetInformation.datasetQualityDescription	datasetInformation.datasetSize	datasetInformation.datasetStartDate.date	datasetInformation.datasetStartDate.dateTypeCode	datasetInformation.datasetTitle	datasetInformation.datasetZipLink	datasetInformation.documentation.citationInformation.author	datasetInformation.documentation.citationInformation.citationDate.date	datasetInformation.documentation.citationInformation.citationDate.dateTypeCode	datasetInformation.documentation.citationInformation.doi	datasetInformation.documentation.citationInformation.journalName	datasetInformation.documentation.citationInformation.onlineLinkage	datasetInformation.documentation.citationInformation.page	datasetInformation.documentation.citationInformation.title	datasetInformation.documentation.citationInformation.volume	datasetInformation.geographicFeatures.featureName	datasetInformation.processedDataClass	datasetInformation.processedMethod	datasetInformation.purpose	datasetInformation.resourceProvider.contactInformation.email	datasetInformation.resourceProvider.contactInformation.name	datasetInformation.resourceProvider.contactInformation.organization	datasetInformation.resourceProvider.contactInformation.role	datasetInformation.seismicDataProvenance	datasetInformation.supplementalInformation	datasetInformation.temporalExtent.endDate	datasetInformation.temporalExtent.startDate	metadataInformation.dateOfSubmission	metadataInformation.metadataContact.contactInformation.email	metadataInformation.metadataContact.contactInformation.name	metadataInformation.metadataContact.contactInformation.organization	metadataInformation.metadataContact.contactInformation.role	metadataInformation.metadataDate	metadataInformation.metadataStandard
DDS-888	digital		3151.63200			67.05600					96	Hydrophone_Streamer	6.00000	2000		Distance	33.52800		9.14400				Other						SEGP1	undocumented	NAD27	-88.91108	29.38167	29.29344	-89.00521	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2000-12-24	open	https://walrus.wr.usgs.gov/namss/survey/b-23-75-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-23-75-LA.mcs.aquapulse.zip					dataset	Unspecified		Unspecified	514.0 MB	1975-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1975/namss.B-23-75-LA.mcs.aquapulse.zip										Main pass	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1975-12-31	1975-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						N83	undocumented	NAD83	-144.00913	71.91305	69.98958	-156.60516	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	2006-09-28	open	https://walrus.wr.usgs.gov/namss/survey/b-23-81-ar/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-23-81-AR.mcs.airgun.zip					dataset	Unspecified		Unspecified	2.7 GB	1981-08-10	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/1981/namss.B-23-81-AR.mcs.airgun.zip										Beaufort Sea	Migration, Stack	Seismic:Reflection, Seismic:Velocity	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1981-09-28	1981-08-10	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-V	digital	68.58000	2999.23200		7.62000	24.99360					120	Hydrophone_Streamer	8.00000	2000		Distance	24.99360		6.09600			188.06160	SeismicSource_Gun_Air	4075.00000	Cubic Inches		Arctic Seal	GSI	SEGP1	undocumented	NAD27	-93.81369	29.52984	28.75220	-95.27949	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2008-04-23	open	https://walrus.wr.usgs.gov/namss/survey/b-23-83-tx/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-23-83-TX.mcs.airgun.zip					dataset	Unspecified		Unspecified	13.3 MB	1983-04-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1983/namss.B-23-83-TX.mcs.airgun.zip										Texas	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1983-04-30	1983-04-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DDS-777	digital		3151.63200		15.24000	67.05600					48	Hydrophone_Streamer	6.00000	2000		Distance	33.52800		7.62000			274.32000	Other						SEGP1	undocumented	NAD27	-89.28285	28.89257	28.78638	-89.41902	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2000-12-24	open	https://walrus.wr.usgs.gov/namss/survey/b-24-75-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-24-75-LA.mcs.aquapulse.zip					dataset	Unspecified		Unspecified	497.0 MB	1975-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1975/namss.B-24-75-LA.mcs.aquapulse.zip										South Pass	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1975-12-31	1975-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-III	digital	64.31280	1194.81600			34.13760			1		36	Hydrophone_Streamer							3.81000			72.84720	SeismicSource_Sparker				Atlantic Seal	Digicon	SEGP1	undocumented	WGS84	-78.54127	32.98458	30.25098	-81.18733	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2001-02-22	open	https://walrus.wr.usgs.gov/namss/survey/b-24-76-at/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-24-76-AT.mcs.sparker.zip					dataset	Unspecified		Unspecified	442.6 MB	1976-02-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1976/namss.B-24-76-AT.mcs.sparker.zip										Georgia Embayment	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1976-02-29	1976-02-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-91.28083	29.10793	28.66185	-92.43228	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2006-01-25	open	https://walrus.wr.usgs.gov/namss/survey/b-24-81-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-24-81-LA.mcs.airgun.zip					dataset	Unspecified		Unspecified	3.1 GB	1981-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1981/namss.B-24-81-LA.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1981-01-31	1981-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-95.01279	28.65770	26.98127	-97.15208	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2009-01-24	open	https://walrus.wr.usgs.gov/namss/survey/b-24-84-tx/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-24-84-TX.mcs.airgun.zip					dataset	Unspecified		Unspecified	45.7 MB	1984-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1984/namss.B-24-84-TX.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1984-01-31	1984-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-87.42388	30.19503	29.27948	-88.74772	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2010-01-25	open	https://walrus.wr.usgs.gov/namss/survey/b-24-85-mi/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-24-85-MI.mcs.airgun.zip					dataset	Unspecified		Unspecified	476.8 MB	1985-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1985/namss.B-24-85-MI.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1985-01-31	1985-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-III	digital		3520.44000		16.76400	99.97440			1		36	Hydrophone_Streamer	7.00000	4000		Distance	49.98720		9.14400	23		345.64320	SeismicSource_Gun_Air	1700.00000	Cubic Inches		Gulf Seal	Unspecified	SEGP1	undocumented	NAD83	-66.00376	41.66749	40.15259	-70.19787	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2001-11-24	open	https://walrus.wr.usgs.gov/namss/survey/b-25-76-at/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-25-76-AT.mcs.airgun.zip					dataset	Unspecified		Unspecified	234.7 MB	1976-11-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1976/namss.B-25-76-AT.mcs.airgun.zip										Georges Bank	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1976-11-30	1976-11-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air				Western Geo	Unspecified	N83	undocumented	NAD83	-142.97690	71.68084	70.06849	-153.35545	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	Unspecified	Unspecified	Unspecified	resourceProvider		open	https://walrus.wr.usgs.gov/namss/survey/b-25-77-ak/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-25-77-AK.mcs.airgun.zip					dataset	Unspecified		Unspecified	49.8 GB	1977-07-25	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1977/namss.B-25-77-AK.mcs.airgun.zip										Beaufort Sea	Migration, Stack	Seismic:Reflection, Seismic:Velocity	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1977-10-10	1977-07-25	2016-08-29	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-IV	digital											Hydrophone_Streamer	6.00000	2000						4		304.80000	SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-91.47318	28.77918	27.90008	-93.50729	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2003-01-25	open	https://walrus.wr.usgs.gov/namss/survey/b-25-78-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-25-78-LA.mcs.airgun.zip					dataset	Unspecified		Unspecified	95.3 MB	1978-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1978/namss.B-25-78-LA.mcs.airgun.zip										West Cameron	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1978-01-31	1978-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-IV	digital		3167.17680		12.19200	67.36080					48	Hydrophone_Streamer	6.00000	2000	LORAC	Distance	33.68040		9.14400	7		220.06560	SeismicSource_Gun_Air	1684.00000	Cubic Inches		Deep Sea Explorer	Geosource	SEGP1	undocumented	NAD27	-96.34464	28.09626	27.78806	-96.62055	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2005-03-25	open	https://walrus.wr.usgs.gov/namss/survey/b-25-80-tx/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-25-80-TX.mcs.airgun.zip					dataset	Unspecified		Unspecified	44.1 MB	1980-03-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1980/namss.B-25-80-TX.mcs.airgun.zip										Texas	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1980-03-31	1980-03-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
FCS II GUS	digital		2925.16560		10.66800	15.00000					121	Hydrophone_Streamer	8.00000	4000	Long Range Navigation	Distance	22.49424		7.62000	10		290.77920	Other				Kirsten Bravo	Exxon	SEGP1	undocumented	NAD27	-85.31007	29.16135	27.46246	-86.81774	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2006-09-24	open	https://walrus.wr.usgs.gov/namss/survey/b-25-81-mi/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-25-81-MI.mcs.eprgg.zip					dataset	Unspecified		Unspecified	359.8 MB	1981-09-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1981/namss.B-25-81-MI.mcs.eprgg.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1981-09-30	1981-09-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
LAS-888	digital				9.14400	67.05600					48	Hydrophone_Streamer	6.00000	2000		Distance	67.05600		14.32560	6		274.32000	Other						SEGP1	undocumented	NAD27	-94.46158	27.83396	27.58386	-94.80124	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2006-10-25	open	https://walrus.wr.usgs.gov/namss/survey/b-25-81-tx/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-25-81-TX.mcs.aquapulse.zip					dataset	Unspecified		Unspecified	12.6 MB	1981-10-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1981/namss.B-25-81-TX.mcs.aquapulse.zip										Texas	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1981-10-31	1981-10-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						N83	no	NAD83	-164.21860	56.96815	54.19183	-171.74737	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	2016-09-01	open	https://walrus.wr.usgs.gov/namss/survey/b-25-83-ak/dataset/	These data were acquired by BOEM (formerly MMS and USGS). Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-25-83-AK.mcs.airgun.zip					dataset	Unspecified		Unspecified	2.3 GB	1983-05-06	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/1983/namss.B-25-83-AK.mcs.airgun.zip										Gulf of Alaska	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS). The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1983-10-30	1983-05-06	2017-04-18	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
